Geneid	M04.CTRL	M04.TGFb	M04.TGFb_VTP	M04.VTP	M77.CTRL	M77.TGFb	M77.TGFb_VTP	M77.VTP	M78.CTRL	M78.TGFb	M78.TGFb_VTP	M78.VTP	M81.CTRL	M81.TGFb	M81.TGFb_VTP	M81.VTP	M89.CTRL	M89.TGFb	M89.TGFb_VTP	M89.VTP	M99.CTRL	M99.TGFb	M99.TGFb_VTP	M99.VTP
CAMK2D	1145	1738	1351	1667	640	1113	529	541	1081	424	639	385	785	519	594	957	373	1430	1125	725	843	720	709	632
AC111193.1	0	2	0	9	0	3	0	1	0	0	2	0	0	2	0	1	2	6	0	3	2	0	2	0
ARSJ	1536	2245	918	1352	1011	680	333	330	1202	311	292	176	758	371	201	292	263	1144	445	291	939	752	600	493
AC104779.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC093815.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UGT8	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	3	0	1	1	0	1	0	2	3
MIR577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CIR1P2	0	5	0	2	0	4	1	0	3	6	5	0	0	1	6	5	0	5	1	2	0	1	1	1
RN7SL808P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NDST4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MRPS33P3	1	1	1	0	0	2	3	0	3	1	1	0	1	0	0	2	1	5	1	0	0	1	2	0
RPF2P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PGAM4P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRT18P21	1	0	0	1	1	1	0	0	0	2	1	1	1	0	0	1	1	0	0	0	0	1	1	0
AC027613.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0
EIF3KP3	3	7	2	7	9	22	4	6	8	7	36	2	10	7	19	36	17	18	7	4	2	5	5	2
TTC39CP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
MTRNR2L13	1	1	1	0	0	0	2	2	0	1	0	1	1	0	0	2	0	1	1	1	2	0	3	2
MIR1973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRMT112P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CUL4AP1	2	1	0	1	1	0	0	0	0	0	1	1	0	0	2	0	0	2	1	0	0	0	0	0
AC106892.1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTN4P1	82	150	32	255	224	226	112	81	181	190	395	67	95	43	129	287	166	527	103	106	116	101	274	41
AC093765.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
AC093765.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC093765.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC093765.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
RNU6-119P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC093765.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRAM1L1	16	38	19	23	37	39	52	19	29	24	25	5	15	16	37	42	17	92	33	18	20	15	25	12
AC107399.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02263	5	4	7	4	0	6	2	0	0	0	2	1	0	1	7	0	0	1	2	2	2	1	2	1
LINC01378	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPSAP35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NT5C3AP1	8	10	0	11	3	9	8	4	5	6	12	1	3	3	10	4	2	18	6	5	6	4	12	5
AC092661.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
LINC02264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NDST3	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
FKBP4P1	4	5	1	15	8	2	6	0	7	5	7	1	4	2	3	9	3	7	4	2	4	1	3	1
SNHG8	238	318	240	544	224	236	625	454	212	281	448	145	236	217	420	257	207	383	351	237	254	257	237	197
SNORA24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRSS12	287	344	229	443	640	349	521	437	642	455	475	214	281	304	286	303	278	534	506	488	357	345	489	241
NDUFS5P5	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0
AC092670.1	26	28	12	28	18	36	6	4	17	16	49	8	20	4	13	50	42	20	15	19	12	24	17	12
CEP170P1	52	76	17	61	48	44	33	23	46	62	92	16	26	22	56	94	76	99	33	39	40	42	81	32
AC110079.1	45	33	19	59	42	29	59	49	43	52	62	14	21	34	53	39	50	41	41	16	30	23	43	4
RNU6-1054P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CICP16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEPTIN14P4	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1
METTL14-DT	0	4	2	1	5	0	2	0	0	0	0	4	0	0	5	1	3	2	0	0	0	1	1	2
METTL14	178	223	225	263	179	251	289	149	245	201	286	128	123	208	297	287	182	277	242	139	254	191	176	164
SEC24D	1299	1620	1278	2031	2766	2413	4337	2724	3366	2584	3622	1354	2547	3491	4553	3001	2418	3613	2767	2076	2226	1929	2148	1287
SYNPO2	135	216	211	242	238	666	82	77	1187	131	63	246	308	131	106	182	63	971	261	90	700	657	98	73
AC096745.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
MYOZ2	34	87	67	85	185	467	33	96	280	21	47	230	117	16	23	186	5	805	198	80	121	113	53	47
AC092656.1	0	0	0	3	0	0	1	0	1	0	0	2	0	0	1	0	0	4	1	4	1	1	0	1
USP53	1322	2712	1302	1308	1361	2437	366	485	1931	313	419	530	1079	372	396	990	355	3121	1299	583	2052	1465	615	669
C4orf3	832	808	571	1065	771	754	1135	593	588	680	809	342	812	927	901	671	681	909	524	400	616	438	601	500
FABP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KLHL2P1	3	0	1	4	4	0	1	0	5	5	3	0	4	1	3	3	2	7	1	2	3	0	0	2
RNU4-33P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC110373.1	1	0	0	2	2	2	1	0	0	0	1	0	0	0	0	1	1	0	0	1	0	2	0	0
GTF2IP12	18	21	10	47	23	21	41	30	24	18	30	5	22	17	30	46	38	34	19	14	14	21	21	11
AC093752.3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-1217P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC093752.1	25	38	26	26	57	74	66	51	66	65	62	11	25	29	74	49	60	58	45	31	22	25	13	6
AC093752.2	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	2	0	0	0	0	1	1	1	0
PDE5A	236	253	295	307	250	242	158	117	310	125	161	95	291	296	307	512	127	373	255	140	215	170	99	93
AC080089.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AC080089.2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
LINC01365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097173.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097173.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097173.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAD2L1	95	58	52	97	17	41	39	39	46	34	69	24	38	33	60	49	24	58	56	70	60	35	87	68
AC073475.1	1	3	3	5	3	0	1	2	2	1	4	0	1	0	3	3	0	4	2	1	2	3	1	1
LTV1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SAR1AP3	7	15	2	11	13	10	5	1	9	9	23	2	2	6	15	12	10	28	7	4	6	7	17	5
AC025741.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PRDM5	53	72	50	92	68	51	107	58	60	71	79	29	65	80	141	100	77	104	74	51	68	48	64	35
RNU6-550P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SETP12	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0
NDNF	6	8	7	5	0	3	2	0	3	2	0	0	6	8	5	1	1	3	1	3	15	14	7	4
RN7SKP137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC105254.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC105254.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNIP3	129	167	142	274	25	13	32	14	59	14	15	18	30	21	23	22	10	10	8	2	47	37	94	154
RNU6-948P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
QRFPR	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC093867.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC093816.1	12	7	3	6	6	12	2	1	10	7	26	2	7	2	12	24	15	25	4	6	11	8	16	2
TUBB4BP5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANXA5	14217	18020	15649	22113	13698	15325	32585	19955	19577	14580	25968	12088	15116	20687	32186	21323	12612	21526	23212	15932	14832	13494	16545	15086
TMEM155	6	1	4	12	48	25	63	53	27	36	55	9	2	37	24	37	45	33	35	20	6	18	19	15
AC079341.1	0	0	0	0	0	4	7	2	2	3	6	0	1	1	0	2	0	3	3	0	0	0	0	1
EXOSC9	193	226	237	365	202	233	526	297	219	232	383	294	195	201	371	260	235	311	323	254	187	178	298	348
CCNA2	82	67	51	85	45	51	60	62	76	50	87	19	51	32	43	26	49	61	84	150	33	25	76	120
BBS7	255	277	241	242	221	196	300	169	265	186	274	92	165	276	375	227	203	243	198	108	231	155	125	175
AC079341.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
TRPC3	2	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0
AC097533.1	7	2	1	9	10	4	7	3	3	4	23	0	5	1	10	11	7	32	4	9	5	4	14	2
RN7SL335P	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIAA1109	886	1030	715	840	870	917	627	433	1051	867	498	350	695	1055	814	663	1062	1071	674	309	848	647	452	481
ADAD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL21-AS1	2	2	3	0	0	2	0	0	0	0	0	0	0	0	0	2	0	5	2	1	3	2	3	0
AC053545.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CETN4P	3	1	2	8	2	4	6	3	5	1	6	0	0	2	5	1	3	7	7	0	0	2	4	4
BBS12	50	53	30	53	56	51	103	52	59	46	80	39	50	78	119	85	97	81	58	35	59	58	57	46
AC021205.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF2	12182	14035	5873	8528	3608	2994	3394	2400	3333	1649	2505	1187	1066	2005	2809	1880	3510	3192	2118	1704	4587	2685	2947	2837
AC021205.1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1
AC021205.3	0	0	0	0	0	1	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0
NUDT6	17	6	14	28	23	22	34	23	20	20	36	18	38	25	48	38	20	41	17	16	20	10	14	12
SPATA5	47	52	36	53	52	78	68	52	68	39	70	20	53	52	44	45	56	84	54	38	54	46	52	61
AC026402.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC026402.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPRY1	15	27	22	25	80	107	39	56	99	43	58	43	172	65	74	164	17	193	103	46	65	65	38	19
AC093821.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01091	0	0	0	1	5	3	4	10	6	3	11	4	0	2	14	18	4	5	3	4	1	3	1	4
AC096732.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL21P50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AC093767.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC108075.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPIAP76	1	0	0	0	2	1	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	1	1
AC121154.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0
AC133530.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
AC097474.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
TECRP2	10	11	1	23	11	9	6	1	8	5	22	6	4	3	3	18	3	27	3	9	5	6	26	4
LINC02516	2	1	1	1	1	2	0	1	3	0	0	0	5	0	4	3	0	0	0	1	0	0	1	1
ANKRD50	523	719	522	793	510	521	603	475	559	405	546	315	813	636	732	988	495	760	603	363	619	566	605	685
FAT4	457	617	507	628	532	355	209	232	697	482	251	174	424	347	197	262	449	555	470	271	520	458	379	295
AC079835.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR2054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC104664.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NUP58P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM248P1	1	1	0	1	1	4	0	0	0	0	2	0	0	0	1	1	0	4	0	1	0	0	0	0
LINC02379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3P15	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097528.1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2
RBM48P1	1	0	0	0	0	0	0	1	3	0	3	0	1	2	3	2	1	2	1	0	1	0	0	0
AC097378.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC096773.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC093772.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
AC093772.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
AC097462.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097462.2	0	2	0	0	0	0	1	0	0	0	1	0	0	0	2	3	0	3	0	1	0	0	2	0
AC097462.3	0	0	0	0	0	2	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0
INTU	106	179	148	194	136	205	111	75	279	162	136	77	157	198	229	158	143	250	134	49	250	223	86	98
SLC25A31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0
HSPA4L	88	186	155	143	265	276	201	168	343	193	263	127	103	197	215	244	214	325	185	100	318	208	134	163
AC093591.3	3	1	0	0	7	3	1	1	1	1	2	1	1	2	2	1	0	2	4	1	0	1	2	0
AC093591.1	29	39	18	34	33	40	30	23	26	26	91	30	22	12	21	72	36	45	15	22	31	32	29	19
AC093591.2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
PLK4	30	23	32	23	10	9	12	10	19	11	19	2	7	8	11	12	4	15	23	28	11	15	30	37
RNU6-583P	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MFSD8	124	128	110	125	122	145	120	60	150	101	147	34	82	148	150	102	122	171	94	61	129	77	104	92
ABHD18	42	50	35	51	56	66	78	49	59	75	78	40	53	65	97	73	74	67	44	36	73	59	40	38
LARP1B	105	127	106	149	173	154	252	130	189	146	199	101	101	169	264	157	199	206	166	74	156	129	109	140
AC099340.1	1	2	3	2	2	1	0	1	4	2	0	1	2	3	1	2	3	1	2	2	3	3	2	0
FOSL1P1	12	16	5	23	6	3	5	0	3	2	5	2	2	2	2	5	2	6	2	7	0	1	10	5
PGRMC2	1032	1349	1085	1714	2157	2078	2373	1631	1985	1965	2262	971	1415	2087	2537	1770	1632	3019	2154	1883	1966	1812	1943	1113
LINC02615	27	24	21	21	51	48	64	34	27	36	57	11	39	73	64	57	49	41	39	13	47	32	17	10
AC110609.1	1	0	1	0	1	1	0	0	0	3	0	1	0	2	3	2	0	3	1	0	0	0	0	0
AC078850.1	23	69	34	34	16	20	9	6	32	20	41	9	23	28	26	11	16	35	24	14	25	23	20	16
AC078850.2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JADRR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
JADE1	170	289	186	269	579	660	966	483	600	914	794	387	429	1261	1066	616	899	919	711	361	635	566	319	251
SCLT1	75	112	64	102	80	109	80	52	80	62	95	53	65	110	127	77	74	129	99	91	88	56	74	109
AC093783.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC093826.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4orf33	38	77	72	95	22	92	72	29	68	71	118	35	41	83	121	94	36	102	112	49	57	64	55	44
AC093826.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZSWIM5P3	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
AC105417.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC082650.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC082650.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
EEF1GP8	2	0	0	2	0	0	1	0	0	1	2	0	0	0	0	1	2	1	0	1	1	1	1	0
LINC02479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PGBD4P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GAPDHP56	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC093831.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC093831.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC093902.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC025554.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-224P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02377	4	2	1	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AC105424.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SL205P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNHG27	3	0	0	0	0	5	0	0	0	0	0	0	0	1	2	2	0	2	1	0	1	0	0	0
AC107393.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC107393.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL7AP28	49	51	33	41	0	13	0	1	0	0	0	0	14	19	25	16	0	17	40	16	24	17	13	22
AC096711.2	10	4	2	15	0	4	1	0	0	1	0	0	0	4	0	3	0	0	1	10	3	1	5	2
AC093916.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC096711.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELL2P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC114741.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AARS1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC115622.1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0
AC110751.1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC105383.1	1	4	4	3	60	57	95	72	75	67	82	36	73	94	101	79	86	120	55	24	68	60	25	9
R3HDM2P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCDH10	296	397	358	739	7913	8327	8448	5993	12223	12836	10685	4363	7222	10787	9906	7368	6839	11928	10660	11476	8834	8308	5294	2407
AC108052.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC105252.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC079380.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AC015631.1	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	4
AC096763.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PABPC4L	20	12	10	9	25	20	23	9	14	12	12	1	24	53	72	46	52	12	15	5	20	17	8	7
PES1P1	0	4	0	5	5	6	3	1	2	0	3	1	2	2	3	6	2	8	6	5	4	2	12	3
LINC02462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
AC093722.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC104619.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC104619.4	6	11	0	20	8	6	5	5	4	5	30	1	6	3	13	19	9	41	10	2	3	8	10	6
AC104619.1	22	15	13	46	20	14	26	19	11	26	25	28	28	17	21	27	12	30	27	52	17	25	46	14
AC104619.3	88	162	68	183	141	132	97	71	55	138	316	23	53	42	117	293	193	142	87	92	117	135	119	53
AC107463.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02485	0	0	0	0	1	1	2	0	0	0	1	0	2	4	3	1	2	4	1	0	1	0	1	0
AC108867.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRT18P54	0	0	4	0	0	0	0	1	0	1	0	0	0	1	0	2	0	0	1	0	0	1	0	0
TARS2P1	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC105362.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00613	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU1-89P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC104136.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC073429.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC018680.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC073429.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TERF1P3	0	0	2	0	0	0	0	0	1	0	2	0	0	0	1	0	0	1	0	0	0	0	1	0
AC093875.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02511	0	0	0	0	0	1	6	1	0	0	0	0	4	0	1	3	0	2	3	1	1	3	1	2
LINC02510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SERF1AP1	0	0	0	0	4	0	0	0	2	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0
STMN1P2	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0
RPS23P2	1	1	0	2	1	2	0	0	0	1	4	2	0	0	2	4	2	3	1	1	2	2	2	0
PCDH18	43	60	35	57	140	135	87	90	139	75	58	32	206	78	82	108	80	241	179	98	115	97	78	73
LINC02172	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AC116563.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC116563.1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
AC131956.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
