NAME,GS<br> follow link to MSigDB,GS DETAILS,SIZE,ES,NES,NOM p-val,FDR q-val,FWER p-val,RANK AT MAX,LEADING EDGE
DNA-TEMPLATED DNA REPLICATION%GOBP%GO:0006261,DNA-TEMPLATED DNA REPLICATION%GOBP%GO:0006261,,121,0.35554278,1.3084495,0.03875969,0.3569081,1,2815,"tags=25%, list=19%, signal=30%"
NUCLEAR MEMBRANE REASSEMBLY%GOBP%GO:0031468,NUCLEAR MEMBRANE REASSEMBLY%GOBP%GO:0031468,,24,0.46719015,1.3084433,0.11804385,0.35636067,1,2552,"tags=46%, list=17%, signal=55%"
MITOPHAGY%GOBP%GO:0000423,MITOPHAGY%GOBP%GO:0000423,,15,0.51851195,1.3075017,0.1295972,0.35776258,1,4159,"tags=53%, list=28%, signal=74%"
NEGATIVE REGULATION OF ACTIN FILAMENT POLYMERIZATION%GOBP%GO:0030837,NEGATIVE REGULATION OF ACTIN FILAMENT POLYMERIZATION%GOBP%GO:0030837,,29,0.44572845,1.307263,0.103559874,0.35777953,1,3713,"tags=52%, list=25%, signal=69%"
DETOXIFICATION%GOBP%GO:0098754,DETOXIFICATION%GOBP%GO:0098754,,36,0.43359366,1.3070718,0.07809847,0.35769737,1,2899,"tags=36%, list=20%, signal=45%"
TRANSCRIPTIONAL REGULATION BY SMALL RNAS%REACTOME DATABASE ID RELEASE 83%5578749,TRANSCRIPTIONAL REGULATION BY SMALL RNAS%REACTOME DATABASE ID RELEASE 83%5578749,,55,0.39487338,1.3070383,0.084142394,0.35723448,1,1505,"tags=20%, list=10%, signal=22%"
AMYOTROPHIC LATERAL SCLEROSIS (ALS)%WIKIPATHWAYS_20220510%WP2447%HOMO SAPIENS,AMYOTROPHIC LATERAL SCLEROSIS (ALS)%WIKIPATHWAYS_20220510%WP2447%HOMO SAPIENS,,19,0.4998193,1.3067076,0.15371025,0.35741645,1,1026,"tags=32%, list=7%, signal=34%"
PROTEIN INSERTION INTO MEMBRANE%GOBP%GO:0051205,PROTEIN INSERTION INTO MEMBRANE%GOBP%GO:0051205,,61,0.39154387,1.3058014,0.089030206,0.35888073,1,2920,"tags=41%, list=20%, signal=51%"
REGULATION OF SPINDLE CHECKPOINT%GOBP%GO:0090231,REGULATION OF SPINDLE CHECKPOINT%GOBP%GO:0090231,,18,0.5112058,1.3055251,0.15037593,0.3589469,1,3156,"tags=56%, list=21%, signal=71%"
METABOLIC DISORDERS OF BIOLOGICAL OXIDATION ENZYMES%REACTOME DATABASE ID RELEASE 83%5579029,METABOLIC DISORDERS OF BIOLOGICAL OXIDATION ENZYMES%REACTOME DATABASE ID RELEASE 83%5579029,,18,0.49670577,1.3052397,0.13586956,0.3590261,1,1330,"tags=28%, list=9%, signal=30%"
NEGATIVE REGULATION OF DEPHOSPHORYLATION%GOBP%GO:0035305,NEGATIVE REGULATION OF DEPHOSPHORYLATION%GOBP%GO:0035305,,28,0.4525314,1.3050808,0.1038526,0.35882545,1,1987,"tags=32%, list=13%, signal=37%"
P38 MAPK PATHWAY%PANTHER PATHWAY%P05918,P38 MAPK PATHWAY%PANTHER PATHWAY%P05918,,26,0.46106145,1.3029641,0.120661154,0.36295184,1,3234,"tags=42%, list=22%, signal=54%"
BARBED-END ACTIN FILAMENT CAPPING%GOBP%GO:0051016,BARBED-END ACTIN FILAMENT CAPPING%GOBP%GO:0051016,,15,0.53107435,1.302802,0.15412186,0.362762,1,4111,"tags=67%, list=28%, signal=92%"
PID_HDAC_CLASSI_PATHWAY%MSIGDB_C2%PID_HDAC_CLASSI_PATHWAY,PID_HDAC_CLASSI_PATHWAY%MSIGDB_C2%PID_HDAC_CLASSI_PATHWAY,,55,0.39778998,1.3021655,0.09268293,0.36358982,1,4101,"tags=38%, list=28%, signal=53%"
LIPID MODIFICATION%GOBP%GO:0030258,LIPID MODIFICATION%GOBP%GO:0030258,,103,0.360647,1.300892,0.04524181,0.36592564,1,2395,"tags=24%, list=16%, signal=29%"
MITOCHONDRIAL COMPLEX II DEFICIENCY%PATHWHIZ%PW000524,MITOCHONDRIAL COMPLEX II DEFICIENCY%PATHWHIZ%PW000524,,21,0.49203402,1.3000158,0.1498195,0.36732385,1,3460,"tags=43%, list=23%, signal=56%"
PEROXISOME ORGANIZATION%GOBP%GO:0007031,PEROXISOME ORGANIZATION%GOBP%GO:0007031,,31,0.44134805,1.2989926,0.1056338,0.36906132,1,1666,"tags=23%, list=11%, signal=25%"
TRANSCRIPTION INITIATION-COUPLED CHROMATIN REMODELING%GOBP%GO:0045815,TRANSCRIPTION INITIATION-COUPLED CHROMATIN REMODELING%GOBP%GO:0045815,,30,0.4484303,1.2983152,0.12041885,0.3700863,1,3969,"tags=50%, list=27%, signal=68%"
PIGMENT METABOLIC PROCESS%GOBP%GO:0042440,PIGMENT METABOLIC PROCESS%GOBP%GO:0042440,,28,0.45137203,1.2976756,0.11604095,0.37101284,1,2032,"tags=32%, list=14%, signal=37%"
TELOMERE MAINTENANCE VIA TELOMERE LENGTHENING%GOBP%GO:0010833,TELOMERE MAINTENANCE VIA TELOMERE LENGTHENING%GOBP%GO:0010833,,24,0.46381465,1.2974664,0.102389075,0.37092605,1,5125,"tags=63%, list=35%, signal=95%"
SARS-COV-1-HOST INTERACTIONS%REACTOME%R-HSA-9692914.1,SARS-COV-1-HOST INTERACTIONS%REACTOME%R-HSA-9692914.1,,87,0.36793715,1.2968533,0.0609375,0.37177682,1,3332,"tags=33%, list=22%, signal=43%"
ACTIVATED PKN1 STIMULATES TRANSCRIPTION OF AR (ANDROGEN RECEPTOR) REGULATED GENES KLK2 AND KLK3%REACTOME%R-HSA-5625886.2,ACTIVATED PKN1 STIMULATES TRANSCRIPTION OF AR (ANDROGEN RECEPTOR) REGULATED GENES KLK2 AND KLK3%REACTOME%R-HSA-5625886.2,,17,0.51227224,1.2966715,0.14056939,0.37161076,1,808,"tags=18%, list=5%, signal=19%"
TRICARBOXYLIC ACID CYCLE%GOBP%GO:0006099,TRICARBOXYLIC ACID CYCLE%GOBP%GO:0006099,,23,0.47294906,1.2962605,0.13005273,0.37200493,1,3927,"tags=52%, list=27%, signal=71%"
CLEAVAGE OF THE DAMAGED PURINE%REACTOME DATABASE ID RELEASE 83%110331,CLEAVAGE OF THE DAMAGED PURINE%REACTOME DATABASE ID RELEASE 83%110331,,19,0.5028133,1.2959565,0.15425532,0.37212214,1,3254,"tags=37%, list=22%, signal=47%"
REGULATION OF PROTEIN EXPORT FROM NUCLEUS%GOBP%GO:0046825,REGULATION OF PROTEIN EXPORT FROM NUCLEUS%GOBP%GO:0046825,,23,0.48162338,1.2955998,0.1534196,0.37238392,1,3465,"tags=43%, list=23%, signal=57%"
POSITIVE REGULATION OF TOR SIGNALING%GOBP%GO:0032008,POSITIVE REGULATION OF TOR SIGNALING%GOBP%GO:0032008,,42,0.41646636,1.2950817,0.102608696,0.37297857,1,2683,"tags=38%, list=18%, signal=46%"
POSITIVE REGULATION OF CHROMOSOME ORGANIZATION%GOBP%GO:2001252,POSITIVE REGULATION OF CHROMOSOME ORGANIZATION%GOBP%GO:2001252,,99,0.35655665,1.2947257,0.062015504,0.3732964,1,2396,"tags=20%, list=16%, signal=24%"
RNA POLYMERASE I TRANSCRIPTION%REACTOME%R-HSA-73864.3,RNA POLYMERASE I TRANSCRIPTION%REACTOME%R-HSA-73864.3,,59,0.38834238,1.293705,0.096518986,0.3749763,1,2154,"tags=22%, list=15%, signal=26%"
PROTEIN POLYMERIZATION%GOBP%GO:0051258,PROTEIN POLYMERIZATION%GOBP%GO:0051258,,73,0.37886125,1.2935028,0.09546166,0.3748322,1,3509,"tags=33%, list=24%, signal=43%"
CONGENITAL LACTIC ACIDOSIS%PATHWHIZ%PW000522,CONGENITAL LACTIC ACIDOSIS%PATHWHIZ%PW000522,,21,0.49203402,1.2930909,0.12169312,0.3752144,1,3460,"tags=43%, list=23%, signal=56%"
C-TYPE LECTIN RECEPTORS (CLRS)%REACTOME DATABASE ID RELEASE 83%5621481,C-TYPE LECTIN RECEPTORS (CLRS)%REACTOME DATABASE ID RELEASE 83%5621481,,108,0.35431513,1.2928348,0.06287425,0.3751985,1,2744,"tags=31%, list=19%, signal=37%"
PID_ILK_PATHWAY%MSIGDB_C2%PID_ILK_PATHWAY,PID_ILK_PATHWAY%MSIGDB_C2%PID_ILK_PATHWAY,,29,0.4503536,1.2926883,0.108156025,0.37496012,1,2128,"tags=28%, list=14%, signal=32%"
RESOLUTION OF AP SITES VIA THE MULTIPLE-NUCLEOTIDE PATCH REPLACEMENT PATHWAY%REACTOME%R-HSA-110373.2,RESOLUTION OF AP SITES VIA THE MULTIPLE-NUCLEOTIDE PATCH REPLACEMENT PATHWAY%REACTOME%R-HSA-110373.2,,24,0.4662541,1.2923106,0.125,0.37524295,1,4171,"tags=38%, list=28%, signal=52%"
ARACHIDONIC ACID METABOLIC PROCESS%GOBP%GO:0019369,ARACHIDONIC ACID METABOLIC PROCESS%GOBP%GO:0019369,,25,0.46102202,1.292274,0.13611615,0.37476248,1,1492,"tags=28%, list=10%, signal=31%"
RESPONSE TO COPPER ION%GOBP%GO:0046688,RESPONSE TO COPPER ION%GOBP%GO:0046688,,15,0.5277341,1.2887899,0.16094032,0.3821065,1,451,"tags=33%, list=3%, signal=34%"
POSITIVE REGULATION OF MITOCHONDRIAL MEMBRANE PERMEABILITY%GOBP%GO:0035794,POSITIVE REGULATION OF MITOCHONDRIAL MEMBRANE PERMEABILITY%GOBP%GO:0035794,,23,0.4740543,1.2884256,0.1292517,0.38234672,1,2537,"tags=43%, list=17%, signal=52%"
REGULATION OF DNA-TEMPLATED TRANSCRIPTION ELONGATION%GOBP%GO:0032784,REGULATION OF DNA-TEMPLATED TRANSCRIPTION ELONGATION%GOBP%GO:0032784,,94,0.3586452,1.2870581,0.06557377,0.38499868,1,2711,"tags=28%, list=18%, signal=34%"
IL-7 SIGNALING PATHWAY%WIKIPATHWAYS_20220510%WP205%HOMO SAPIENS,IL-7 SIGNALING PATHWAY%WIKIPATHWAYS_20220510%WP205%HOMO SAPIENS,,20,0.4813202,1.2865663,0.1509434,0.38552287,1,1125,"tags=25%, list=8%, signal=27%"
BIOCARTA_CARM_ER_PATHWAY%MSIGDB_C2%BIOCARTA_CARM_ER_PATHWAY,BIOCARTA_CARM_ER_PATHWAY%MSIGDB_C2%BIOCARTA_CARM_ER_PATHWAY,,20,0.49230474,1.2865382,0.14507772,0.38502336,1,3230,"tags=40%, list=22%, signal=51%"
INTRINSIC APOPTOTIC SIGNALING PATHWAY BY P53 CLASS MEDIATOR%GOBP%GO:0072332,INTRINSIC APOPTOTIC SIGNALING PATHWAY BY P53 CLASS MEDIATOR%GOBP%GO:0072332,,33,0.43437332,1.2862853,0.110032365,0.38498813,1,3084,"tags=30%, list=21%, signal=38%"
ENDOCYTIC RECYCLING%GOBP%GO:0032456,ENDOCYTIC RECYCLING%GOBP%GO:0032456,,63,0.38410044,1.2857599,0.09379968,0.38562474,1,3426,"tags=32%, list=23%, signal=41%"
NRF2 PATHWAY%WIKIPATHWAYS_20220510%WP2884%HOMO SAPIENS,NRF2 PATHWAY%WIKIPATHWAYS_20220510%WP2884%HOMO SAPIENS,,61,0.38335392,1.2844697,0.096463025,0.3881066,1,1507,"tags=26%, list=10%, signal=29%"
DNA DAMAGE TELOMERE STRESS INDUCED SENESCENCE%REACTOME%R-HSA-2559586.3,DNA DAMAGE TELOMERE STRESS INDUCED SENESCENCE%REACTOME%R-HSA-2559586.3,,40,0.4107214,1.2833331,0.12561983,0.39022613,1,3254,"tags=33%, list=22%, signal=42%"
POSITIVE REGULATION OF MITOCHONDRION ORGANIZATION%GOBP%GO:0010822,POSITIVE REGULATION OF MITOCHONDRION ORGANIZATION%GOBP%GO:0010822,,62,0.38308755,1.28299,0.11582382,0.39046672,1,2925,"tags=29%, list=20%, signal=36%"
REGULATION OF MYOBLAST DIFFERENTIATION%GOBP%GO:0045661,REGULATION OF MYOBLAST DIFFERENTIATION%GOBP%GO:0045661,,42,0.4102309,1.2826769,0.12720849,0.3905881,1,2868,"tags=29%, list=19%, signal=35%"
RESPONSE TO NUTRIENT%GOBP%GO:0007584,RESPONSE TO NUTRIENT%GOBP%GO:0007584,,29,0.44134966,1.2824785,0.14139694,0.39046228,1,2343,"tags=38%, list=16%, signal=45%"
PURINE-CONTAINING COMPOUND CATABOLIC PROCESS%GOBP%GO:0072523,PURINE-CONTAINING COMPOUND CATABOLIC PROCESS%GOBP%GO:0072523,,40,0.41466013,1.2824755,0.11849192,0.389904,1,2234,"tags=25%, list=15%, signal=29%"
REMOVAL OF THE FLAP INTERMEDIATE FROM THE C-STRAND%REACTOME DATABASE ID RELEASE 83%174437,REMOVAL OF THE FLAP INTERMEDIATE FROM THE C-STRAND%REACTOME DATABASE ID RELEASE 83%174437,,17,0.50697726,1.2813783,0.13571429,0.39186314,1,4504,"tags=59%, list=30%, signal=84%"
INITIATION OF TRANSCRIPTION AND TRANSLATION ELONGATION AT THE HIV-1 LTR%WIKIPATHWAYS_20220510%WP3414%HOMO SAPIENS,INITIATION OF TRANSCRIPTION AND TRANSLATION ELONGATION AT THE HIV-1 LTR%WIKIPATHWAYS_20220510%WP3414%HOMO SAPIENS,,27,0.45255792,1.2813556,0.13153458,0.39133716,1,2150,"tags=33%, list=15%, signal=39%"
TRNA AMINOACYLATION%REACTOME%R-HSA-379724.1,TRNA AMINOACYLATION%REACTOME%R-HSA-379724.1,,41,0.41120017,1.2809042,0.11130137,0.39182106,1,4698,"tags=49%, list=32%, signal=71%"
DOUBLE-STRAND BREAK REPAIR%GOBP%GO:0006302,DOUBLE-STRAND BREAK REPAIR%GOBP%GO:0006302,,177,0.33244812,1.2791656,0.03612717,0.39527547,1,2519,"tags=23%, list=17%, signal=28%"
GLYCOSYL COMPOUND CATABOLIC PROCESS%GOBP%GO:1901658,GLYCOSYL COMPOUND CATABOLIC PROCESS%GOBP%GO:1901658,,22,0.47512963,1.2789726,0.16267124,0.3951544,1,495,"tags=14%, list=3%, signal=14%"
OXYSTEROLS DERIVED FROM CHOLESTEROL%WIKIPATHWAYS_20220510%WP4545%HOMO SAPIENS,OXYSTEROLS DERIVED FROM CHOLESTEROL%WIKIPATHWAYS_20220510%WP4545%HOMO SAPIENS,,18,0.4990996,1.2786878,0.13969335,0.39523622,1,1388,"tags=33%, list=9%, signal=37%"
CELL REDOX HOMEOSTASIS%GOBP%GO:0045454,CELL REDOX HOMEOSTASIS%GOBP%GO:0045454,,34,0.42675954,1.2784668,0.09090909,0.39524248,1,2333,"tags=29%, list=16%, signal=35%"
REGULATION OF MITOTIC CELL CYCLE SPINDLE ASSEMBLY CHECKPOINT%GOBP%GO:0090266,REGULATION OF MITOTIC CELL CYCLE SPINDLE ASSEMBLY CHECKPOINT%GOBP%GO:0090266,,18,0.5112058,1.2780489,0.164076,0.3956275,1,3156,"tags=56%, list=21%, signal=71%"
ABC-FAMILY PROTEINS MEDIATED TRANSPORT%REACTOME%R-HSA-382556.4,ABC-FAMILY PROTEINS MEDIATED TRANSPORT%REACTOME%R-HSA-382556.4,,88,0.3598134,1.2780367,0.08306709,0.39508554,1,2744,"tags=28%, list=19%, signal=35%"
"DNA REPAIR PATHWAYS, FULL NETWORK%WIKIPATHWAYS_20220510%WP4946%HOMO SAPIENS","DNA REPAIR PATHWAYS, FULL NETWORK%WIKIPATHWAYS_20220510%WP4946%HOMO SAPIENS",,89,0.36077458,1.2778547,0.0843949,0.3949433,1,3725,"tags=35%, list=25%, signal=46%"
APC-CDC20 MEDIATED DEGRADATION OF NEK2A%REACTOME%R-HSA-179409.3,APC-CDC20 MEDIATED DEGRADATION OF NEK2A%REACTOME%R-HSA-179409.3,,26,0.44718412,1.2769791,0.15025906,0.39643648,1,3018,"tags=35%, list=20%, signal=43%"
TRNA CHARGING%BIOCYC%TRNA-CHARGING-PWY,TRNA CHARGING%BIOCYC%TRNA-CHARGING-PWY,,37,0.4206275,1.2766125,0.10034602,0.39669663,1,4698,"tags=51%, list=32%, signal=75%"
TP53 REGULATES METABOLIC GENES%REACTOME%R-HSA-5628897.4,TP53 REGULATES METABOLIC GENES%REACTOME%R-HSA-5628897.4,,79,0.36306238,1.2758471,0.0883721,0.39789408,1,2683,"tags=29%, list=18%, signal=35%"
REGULATION OF MITOTIC SISTER CHROMATID SEGREGATION%GOBP%GO:0033047,REGULATION OF MITOTIC SISTER CHROMATID SEGREGATION%GOBP%GO:0033047,,46,0.4034141,1.2750977,0.09854604,0.3991032,1,4684,"tags=57%, list=32%, signal=82%"
TNFALPHA%IOB%TNFALPHA,TNFALPHA%IOB%TNFALPHA,,147,0.33624232,1.274604,0.055059522,0.39971912,1,2589,"tags=26%, list=17%, signal=31%"
DNA BIOSYNTHETIC PROCESS%GOBP%GO:0071897,DNA BIOSYNTHETIC PROCESS%GOBP%GO:0071897,,54,0.38950104,1.2744107,0.117056854,0.3996008,1,4411,"tags=46%, list=30%, signal=66%"
PARKIN-UBIQUITIN PROTEASOMAL SYSTEM PATHWAY%WIKIPATHWAYS_20220510%WP2359%HOMO SAPIENS,PARKIN-UBIQUITIN PROTEASOMAL SYSTEM PATHWAY%WIKIPATHWAYS_20220510%WP2359%HOMO SAPIENS,,42,0.40653,1.2742766,0.12897822,0.39931825,1,3430,"tags=40%, list=23%, signal=53%"
CELLULAR SENESCENCE%GOBP%GO:0090398,CELLULAR SENESCENCE%GOBP%GO:0090398,,40,0.4106422,1.2740979,0.11940298,0.39913747,1,1978,"tags=28%, list=13%, signal=32%"
CAMKK2 PATHWAY%WIKIPATHWAYS_20220510%WP4874%HOMO SAPIENS,CAMKK2 PATHWAY%WIKIPATHWAYS_20220510%WP4874%HOMO SAPIENS,,25,0.45847356,1.273989,0.15009041,0.39884004,1,2260,"tags=28%, list=15%, signal=33%"
VESICLE-MEDIATED TRANSPORT IN SYNAPSE%GOBP%GO:0099003,VESICLE-MEDIATED TRANSPORT IN SYNAPSE%GOBP%GO:0099003,,62,0.37795383,1.2736816,0.09612403,0.39895326,1,2363,"tags=29%, list=16%, signal=34%"
MITOCHONDRION DISASSEMBLY%GOBP%GO:0061726,MITOCHONDRION DISASSEMBLY%GOBP%GO:0061726,,46,0.4007124,1.2729732,0.0987055,0.40005243,1,3672,"tags=37%, list=25%, signal=49%"
CONSTITUTIVE SIGNALING BY AKT1 E17K IN CANCER%REACTOME DATABASE ID RELEASE 83%5674400,CONSTITUTIVE SIGNALING BY AKT1 E17K IN CANCER%REACTOME DATABASE ID RELEASE 83%5674400,,24,0.45787948,1.2717668,0.14680484,0.4023609,1,2119,"tags=42%, list=14%, signal=49%"
REGULATION OF EXOSOMAL SECRETION%GOBP%GO:1903541,REGULATION OF EXOSOMAL SECRETION%GOBP%GO:1903541,,17,0.49372482,1.270971,0.16,0.40370896,1,767,"tags=24%, list=5%, signal=25%"
BASE-EXCISION REPAIR%GOBP%GO:0006284,BASE-EXCISION REPAIR%GOBP%GO:0006284,,35,0.4236509,1.2704319,0.13006757,0.4044649,1,3854,"tags=43%, list=26%, signal=58%"
REGULATION OF G0 TO G1 TRANSITION%GOBP%GO:0070316,REGULATION OF G0 TO G1 TRANSITION%GOBP%GO:0070316,,31,0.43397442,1.269722,0.1390845,0.4055432,1,2868,"tags=32%, list=19%, signal=40%"
INTERLEUKIN-1 SIGNALING%REACTOME%R-HSA-9020702.2,INTERLEUKIN-1 SIGNALING%REACTOME%R-HSA-9020702.2,,104,0.34930843,1.2692864,0.08176101,0.40604603,1,2744,"tags=31%, list=19%, signal=37%"
UB-SPECIFIC PROCESSING PROTEASES%REACTOME DATABASE ID RELEASE 83%5689880,UB-SPECIFIC PROCESSING PROTEASES%REACTOME DATABASE ID RELEASE 83%5689880,,162,0.33178797,1.2683026,0.053391054,0.4078638,1,2953,"tags=28%, list=20%, signal=35%"
SUBSTANTIA NIGRA DEVELOPMENT%GOBP%GO:0021762,SUBSTANTIA NIGRA DEVELOPMENT%GOBP%GO:0021762,,35,0.41748318,1.2680819,0.14542484,0.40781465,1,2696,"tags=31%, list=18%, signal=38%"
TRNA AMINOACYLATION FOR PROTEIN TRANSLATION%GOBP%GO:0006418,TRNA AMINOACYLATION FOR PROTEIN TRANSLATION%GOBP%GO:0006418,,37,0.42062753,1.267245,0.1396104,0.40921018,1,4698,"tags=51%, list=32%, signal=75%"
NRF2-ARE REGULATION%WIKIPATHWAYS_20220510%WP4357%HOMO SAPIENS,NRF2-ARE REGULATION%WIKIPATHWAYS_20220510%WP4357%HOMO SAPIENS,,20,0.47990763,1.2667204,0.15761821,0.40988478,1,3241,"tags=40%, list=22%, signal=51%"
SIRT1 NEGATIVELY REGULATES RRNA EXPRESSION%REACTOME%R-HSA-427359.2,SIRT1 NEGATIVELY REGULATES RRNA EXPRESSION%REACTOME%R-HSA-427359.2,,20,0.47467604,1.2664278,0.14853196,0.4099964,1,2533,"tags=25%, list=17%, signal=30%"
NCRNA TRANSCRIPTION%GOBP%GO:0098781,NCRNA TRANSCRIPTION%GOBP%GO:0098781,,31,0.4340958,1.2659868,0.12704174,0.4104723,1,3528,"tags=42%, list=24%, signal=55%"
RRNA TRANSCRIPTION%GOBP%GO:0009303,RRNA TRANSCRIPTION%GOBP%GO:0009303,,17,0.49352515,1.2657518,0.14384748,0.41046956,1,3420,"tags=41%, list=23%, signal=53%"
GLUCOSAMINE-CONTAINING COMPOUND METABOLIC PROCESS%GOBP%GO:1901071,GLUCOSAMINE-CONTAINING COMPOUND METABOLIC PROCESS%GOBP%GO:1901071,,18,0.48553172,1.2656404,0.15636364,0.41015562,1,427,"tags=17%, list=3%, signal=17%"
DEACTIVATION OF THE BETA-CATENIN TRANSACTIVATING COMPLEX%REACTOME DATABASE ID RELEASE 83%3769402,DEACTIVATION OF THE BETA-CATENIN TRANSACTIVATING COMPLEX%REACTOME DATABASE ID RELEASE 83%3769402,,37,0.41222435,1.2653576,0.13333334,0.41028303,1,3943,"tags=43%, list=27%, signal=59%"
ESTROGEN-DEPENDENT GENE EXPRESSION%REACTOME%R-HSA-9018519.1,ESTROGEN-DEPENDENT GENE EXPRESSION%REACTOME%R-HSA-9018519.1,,94,0.35530978,1.2651857,0.08709176,0.4101161,1,1347,"tags=16%, list=9%, signal=17%"
TRANSCRIPTIONAL REGULATION BY RUNX3%REACTOME%R-HSA-8878159.2,TRANSCRIPTIONAL REGULATION BY RUNX3%REACTOME%R-HSA-8878159.2,,92,0.3530627,1.2650902,0.10806452,0.4097892,1,2744,"tags=28%, list=19%, signal=34%"
PID_TAP63_PATHWAY%MSIGDB_C2%PID_TAP63_PATHWAY,PID_TAP63_PATHWAY%MSIGDB_C2%PID_TAP63_PATHWAY,,37,0.4166606,1.2637478,0.13162394,0.41235653,1,2631,"tags=32%, list=18%, signal=39%"
REGULATION OF NUCLEOTIDE-EXCISION REPAIR%GOBP%GO:2000819,REGULATION OF NUCLEOTIDE-EXCISION REPAIR%GOBP%GO:2000819,,26,0.44887364,1.2630179,0.1559322,0.41359377,1,1156,"tags=23%, list=8%, signal=25%"
EXOCYTIC PROCESS%GOBP%GO:0140029,EXOCYTIC PROCESS%GOBP%GO:0140029,,43,0.4064727,1.2627372,0.14524207,0.41372344,1,2363,"tags=28%, list=16%, signal=33%"
RESPONSE TO TOXIC SUBSTANCE%GOBP%GO:0009636,RESPONSE TO TOXIC SUBSTANCE%GOBP%GO:0009636,,52,0.38791174,1.262636,0.10177706,0.4133864,1,2899,"tags=35%, list=20%, signal=43%"
SELECTIVE AUTOPHAGY%REACTOME%R-HSA-9663891.3,SELECTIVE AUTOPHAGY%REACTOME%R-HSA-9663891.3,,56,0.3833426,1.2619662,0.10720268,0.41440818,1,4187,"tags=38%, list=28%, signal=52%"
AUTOPHAGY OF MITOCHONDRION%GOBP%GO:0000422,AUTOPHAGY OF MITOCHONDRION%GOBP%GO:0000422,,46,0.4007124,1.2605182,0.13946117,0.417293,1,3672,"tags=37%, list=25%, signal=49%"
ATF4 ACTIVATES GENES IN RESPONSE TO ENDOPLASMIC RETICULUM STRESS%REACTOME DATABASE ID RELEASE 83%380994,ATF4 ACTIVATES GENES IN RESPONSE TO ENDOPLASMIC RETICULUM STRESS%REACTOME DATABASE ID RELEASE 83%380994,,26,0.4524203,1.2601738,0.14387211,0.41752264,1,2543,"tags=27%, list=17%, signal=32%"
FRAGILE X SYNDROME%WIKIPATHWAYS_20220510%WP4549%HOMO SAPIENS,FRAGILE X SYNDROME%WIKIPATHWAYS_20220510%WP4549%HOMO SAPIENS,,77,0.36583588,1.2596732,0.105511814,0.4181517,1,1601,"tags=23%, list=11%, signal=26%"
VESICLE TETHERING%GOBP%GO:0099022,VESICLE TETHERING%GOBP%GO:0099022,,31,0.4338675,1.2584397,0.15724382,0.4206143,1,1687,"tags=23%, list=11%, signal=25%"
PROTEIN METHYLATION%REACTOME%R-HSA-8876725.3,PROTEIN METHYLATION%REACTOME%R-HSA-8876725.3,,17,0.49849287,1.2558016,0.16323024,0.42650867,1,2312,"tags=29%, list=16%, signal=35%"
NEGATIVE REGULATION OF TRANSCRIPTION ELONGATION BY RNA POLYMERASE II%GOBP%GO:0034244,NEGATIVE REGULATION OF TRANSCRIPTION ELONGATION BY RNA POLYMERASE II%GOBP%GO:0034244,,15,0.5032936,1.2554718,0.18120806,0.42672423,1,2445,"tags=33%, list=17%, signal=40%"
CONDENSATION OF PROPHASE CHROMOSOMES%REACTOME DATABASE ID RELEASE 83%2299718,CONDENSATION OF PROPHASE CHROMOSOMES%REACTOME DATABASE ID RELEASE 83%2299718,,24,0.45060575,1.2553332,0.16183986,0.4264631,1,646,"tags=13%, list=4%, signal=13%"
CHAPERONE-MEDIATED PROTEIN COMPLEX ASSEMBLY%GOBP%GO:0051131,CHAPERONE-MEDIATED PROTEIN COMPLEX ASSEMBLY%GOBP%GO:0051131,,18,0.48174614,1.2547852,0.18629174,0.42721355,1,4738,"tags=50%, list=32%, signal=73%"
THE ONCOGENIC ACTION OF D-2-HYDROXYGLUTARATE IN HYDROXYGLUTARIC ACIDURIA%SMPDB%SMP0002359,THE ONCOGENIC ACTION OF D-2-HYDROXYGLUTARATE IN HYDROXYGLUTARIC ACIDURIA%SMPDB%SMP0002359,,26,0.44224045,1.2545341,0.15826087,0.42724702,1,4033,"tags=46%, list=27%, signal=63%"
NEGATIVE REGULATION OF PROTEIN-CONTAINING COMPLEX ASSEMBLY%GOBP%GO:0031333,NEGATIVE REGULATION OF PROTEIN-CONTAINING COMPLEX ASSEMBLY%GOBP%GO:0031333,,86,0.3544029,1.2540255,0.1078125,0.42791158,1,3498,"tags=38%, list=24%, signal=50%"
7Q11.23 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20220510%WP4932%HOMO SAPIENS,7Q11.23 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20220510%WP4932%HOMO SAPIENS,,70,0.3670946,1.2529866,0.09268293,0.42976594,1,2947,"tags=39%, list=20%, signal=48%"
NEGATIVE REGULATION OF TYPE I INTERFERON PRODUCTION%GOBP%GO:0032480,NEGATIVE REGULATION OF TYPE I INTERFERON PRODUCTION%GOBP%GO:0032480,,30,0.43668088,1.2517766,0.15042736,0.43217972,1,3081,"tags=37%, list=21%, signal=46%"
REGULATION OF PROTEIN TARGETING%GOBP%GO:1903533,REGULATION OF PROTEIN TARGETING%GOBP%GO:1903533,,60,0.37753054,1.2515497,0.11764706,0.43213576,1,2947,"tags=33%, list=20%, signal=41%"
PLASMA MEMBRANE REPAIR%GOBP%GO:0001778,PLASMA MEMBRANE REPAIR%GOBP%GO:0001778,,21,0.4704739,1.2514637,0.14930555,0.43176982,1,2520,"tags=24%, list=17%, signal=29%"
